# run:lumi:event | A: std(pt,eta,phi) out(pt,eta,phi) | B: std(pt,eta,phi) out(pt,eta,phi) | cosA dt ndof_ok pair_cosmic cand_dup
1:4886:31132462 | A std(180.71,+0.3257,-2.0542) out(160.95,+0.3255,-2.0517) | B std(180.71,+0.3257,-2.0542) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5017:31969251 | A std(52.02,+0.7190,-1.6011) out(34.99,+0.7087,-1.5710) | B std(52.02,+0.7190,-1.6011) out(0.00,+0.0000,+0.0000) | cosA=+0.99968 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5047:32163038 | A std(51.31,+1.3281,+0.9098) out(43.15,+1.3395,+0.9106) | B std(51.31,+1.3281,+0.9098) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4893:31181358 | A std(53.02,-0.1337,-1.5953) out(52.85,-0.1243,-1.5958) | B std(53.02,-0.1337,-1.5953) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5036:32089390 | A std(35.58,+0.2142,-1.5022) out(34.99,+0.2165,-1.5041) | B std(35.58,+0.2142,-1.5022) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1037:6606268 | A std(100.42,-0.3531,-2.2362) out(81.58,-0.3528,-2.2275) | B std(100.42,-0.3531,-2.2362) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5242:33406222 | A std(154.98,-0.3590,-1.2695) out(85.35,-0.3487,-1.2501) | B std(154.98,-0.3590,-1.2695) out(0.00,+0.0000,+0.0000) | cosA=+0.99979 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5012:31935534 | A std(46.18,+0.3875,-0.5850) out(40.02,+0.3846,-0.5992) | B std(46.18,+0.3875,-0.5850) out(0.00,+0.0000,+0.0000) | cosA=+0.99991 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5105:32532361 | A std(72.34,+0.2753,-1.1164) out(53.52,+0.2772,-1.0985) | B std(72.34,+0.2753,-1.1164) out(0.00,+0.0000,+0.0000) | cosA=+0.99985 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5261:33522577 | A std(66.48,+0.3813,+2.3775) out(109.82,+0.3769,+2.3953) | B std(66.48,+0.3813,+2.3775) out(0.00,+0.0000,+0.0000) | cosA=+0.99985 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5117:32606425 | A std(55.41,+0.2780,-1.7523) out(65.18,+0.2776,-1.7463) | B std(55.41,+0.2780,-1.7523) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5144:32781413 | A std(102.36,-0.4730,+1.6552) out(131.61,-0.4718,+1.6623) | B std(102.36,-0.4730,+1.6552) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4883:31116064 | A std(45.39,-0.0704,-0.4686) out(20.71,-0.0737,-0.5665) | B std(45.39,-0.0704,-0.4686) out(0.00,+0.0000,+0.0000) | cosA=+0.99523 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1188:7568758 | A std(59.50,-1.2539,+1.5764) out(66.68,-1.2546,+1.5790) | B std(59.50,-1.2539,+1.5764) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4997:31839896 | A std(157.54,+0.2264,-1.4307) out(160.02,+0.2244,-1.4297) | B std(157.54,+0.2264,-1.4307) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4999:31857854 | A std(78.60,-0.1534,-1.8744) out(65.63,-0.1515,-1.8662) | B std(78.60,-0.1534,-1.8744) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1236:7873884 | A std(46.31,-0.7035,-1.1361) out(34.52,-0.7044,-1.1097) | B std(46.31,-0.7035,-1.1361) out(0.00,+0.0000,+0.0000) | cosA=+0.99978 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5227:33308593 | A std(178.00,-0.7153,-1.3585) out(54.04,-0.7197,-1.3160) | B std(178.00,-0.7153,-1.3585) out(0.00,+0.0000,+0.0000) | cosA=+0.99943 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5229:33319699 | A std(197.74,-0.0684,+1.0347) out(254.88,-0.0663,+1.0339) | B std(197.74,-0.0684,+1.0347) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5324:33925263 | A std(118.60,+0.3618,-1.1449) out(111.25,+0.3588,-1.1434) | B std(118.60,+0.3618,-1.1449) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5372:34235551 | A std(76.28,+0.7229,-1.3258) out(74.07,+0.7202,-1.3201) | B std(76.28,+0.7229,-1.3258) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5501:35055761 | A std(93.54,+0.7196,-1.4637) out(86.20,+0.7207,-1.4595) | B std(93.54,+0.7196,-1.4637) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5349:34087330 | A std(140.12,+0.8657,+0.7450) out(136.42,+0.8580,+0.7436) | B std(140.12,+0.8657,+0.7450) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5356:34129069 | A std(66.05,+0.7905,+1.5306) out(65.37,+0.8032,+1.5314) | B std(66.05,+0.7905,+1.5306) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:660:4201912 | A std(102.55,-0.3448,-0.7647) out(10.44,-0.3488,-1.0984) | B std(102.55,-0.3448,-0.7647) out(0.00,+0.0000,+0.0000) | cosA=+0.95097 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5417:34519747 | A std(144.08,+1.0034,-1.6046) out(93.79,+1.0004,-1.6094) | B std(144.08,+1.0034,-1.6046) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1320:8410405 | A std(77.25,+0.4150,-1.8126) out(46.31,+0.4122,-1.8455) | B std(77.25,+0.4150,-1.8126) out(0.00,+0.0000,+0.0000) | cosA=+0.99954 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1322:8425063 | A std(64.58,+0.1168,-1.9894) out(58.94,+0.1127,-1.9889) | B std(64.58,+0.1168,-1.9894) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5448:34715226 | A std(49.33,-0.1863,+1.7543) out(40.90,-0.1906,+1.7744) | B std(49.33,-0.1863,+1.7543) out(0.00,+0.0000,+0.0000) | cosA=+0.99980 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:721:4592573 | A std(81.10,+0.4796,-2.5006) out(203.81,+0.4752,-2.4778) | B std(81.10,+0.4796,-2.5006) out(0.00,+0.0000,+0.0000) | cosA=+0.99978 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5454:34755417 | A std(35.63,-1.0215,-1.3820) out(24.12,-1.0225,-1.4153) | B std(35.63,-1.0215,-1.3820) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5483:34936809 | A std(64.24,+0.3754,-2.1286) out(50.81,+0.3727,-2.1145) | B std(64.24,+0.3754,-2.1286) out(0.00,+0.0000,+0.0000) | cosA=+0.99991 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1414:9009611 | A std(37.02,+0.4467,+1.7387) out(163.84,+0.4598,+1.6801) | B std(37.02,+0.4467,+1.7387) out(0.00,+0.0000,+0.0000) | cosA=+0.99852 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1420:9044477 | A std(119.22,-0.3972,-1.1334) out(72.38,-0.4011,-1.1169) | B std(119.22,-0.3972,-1.1334) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5573:35512398 | A std(56.30,+0.7390,-1.9150) out(61.45,+0.7440,-1.9163) | B std(56.30,+0.7390,-1.9150) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5681:36202179 | A std(63.51,-0.8629,+1.5575) out(62.41,-0.8668,+1.5590) | B std(63.51,-0.8629,+1.5575) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5340:34028757 | A std(91.02,+0.7344,-1.5516) out(109.94,+0.7355,-1.5595) | B std(91.02,+0.7344,-1.5516) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5504:35071422 | A std(50.02,+0.1977,-1.5427) out(65.94,+0.1994,-1.5634) | B std(50.02,+0.1977,-1.5427) out(0.00,+0.0000,+0.0000) | cosA=+0.99979 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5510:35114284 | A std(44.43,+0.4279,-2.2526) out(52.22,+0.4216,-2.2561) | B std(44.43,+0.4279,-2.2526) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5564:35458747 | A std(69.03,-0.8301,-1.9143) out(55.42,-0.8239,-1.9035) | B std(69.03,-0.8301,-1.9143) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5624:35840502 | A std(78.81,+0.7648,-1.4276) out(86.77,+0.7659,-1.4363) | B std(78.81,+0.7648,-1.4276) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5629:35869052 | A std(65.31,+1.0005,-1.1277) out(92.15,+0.9915,-1.1442) | B std(65.31,+1.0005,-1.1277) out(0.00,+0.0000,+0.0000) | cosA=+0.99993 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1433:9127897 | A std(60.52,-0.8977,-1.5455) out(69.46,-0.8985,-1.5514) | B std(60.52,-0.8977,-1.5455) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:22:137302 | A std(36.51,-0.9846,-2.4775) out(29.78,-0.9879,-2.4647) | B std(36.51,-0.9846,-2.4775) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5665:36101979 | A std(66.61,+0.2436,-1.7063) out(95.17,+0.2401,-1.7206) | B std(66.61,+0.2436,-1.7063) out(0.00,+0.0000,+0.0000) | cosA=+0.99990 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5359:34149203 | A std(46.95,-1.0725,-1.7718) out(32.81,-1.0853,-1.7994) | B std(46.95,-1.0725,-1.7718) out(0.00,+0.0000,+0.0000) | cosA=+0.99983 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5524:35200340 | A std(65.74,+0.7009,-1.9527) out(63.79,+0.7014,-1.9544) | B std(65.74,+0.7009,-1.9527) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5418:34523009 | A std(140.68,-0.2637,-1.8296) out(206.42,-0.2598,-1.8365) | B std(140.68,-0.2637,-1.8296) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5574:35521194 | A std(65.62,+0.0941,-0.9532) out(46.85,+0.0915,-0.9318) | B std(65.62,+0.0941,-0.9532) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5725:36483248 | A std(82.00,+0.4083,-1.5760) out(77.52,+0.4092,-1.5745) | B std(82.00,+0.4083,-1.5760) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5767:36749746 | A std(92.86,+0.3971,-1.8602) out(74.61,+0.3980,-1.8505) | B std(92.86,+0.3971,-1.8602) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5780:36834366 | A std(78.01,-0.6014,+1.5518) out(54.20,-0.6018,+1.5770) | B std(78.01,-0.6014,+1.5518) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5860:37345559 | A std(90.03,-0.7350,-1.5444) out(198.13,-0.7398,-1.5595) | B std(90.03,-0.7350,-1.5444) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5938:37841602 | A std(93.45,-0.4477,-1.3414) out(61.57,-0.4537,-1.3194) | B std(93.45,-0.4477,-1.3414) out(0.00,+0.0000,+0.0000) | cosA=+0.99979 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5975:38074229 | A std(170.20,-0.1627,-1.6193) out(79.59,-0.1676,-1.5963) | B std(170.20,-0.1627,-1.6193) out(0.00,+0.0000,+0.0000) | cosA=+0.99973 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5994:38193470 | A std(118.11,+0.3829,-1.9434) out(107.06,+0.3921,-1.9464) | B std(118.11,+0.3829,-1.9434) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5706:36359153 | A std(34.50,+0.9374,+1.5749) out(37.12,+0.9440,+1.5731) | B std(34.50,+0.9374,+1.5749) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5760:36703730 | A std(79.45,-0.3920,-1.7623) out(76.92,-0.3994,-1.7593) | B std(79.45,-0.3920,-1.7623) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1614:10284225 | A std(44.41,+0.2626,-3.0061) out(42.63,+0.2655,-3.0027) | B std(44.41,+0.2626,-3.0061) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5710:36384552 | A std(54.53,+0.1408,-1.5353) out(44.97,+0.1365,-1.5212) | B std(54.53,+0.1408,-1.5353) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5710:36389823 | A std(45.58,-0.1944,-1.7892) out(39.81,-0.1999,-1.7779) | B std(45.58,-0.1944,-1.7892) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5935:37817788 | A std(79.01,+0.1775,-1.5890) out(69.49,+0.1759,-1.5830) | B std(79.01,+0.1775,-1.5890) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5941:37858131 | A std(102.82,+0.5986,+1.8441) out(90.88,+0.5732,+1.8491) | B std(102.82,+0.5986,+1.8441) out(0.00,+0.0000,+0.0000) | cosA=+0.99976 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5826:37124757 | A std(47.06,-0.3609,+1.5190) out(52.00,-0.3595,+1.5288) | B std(47.06,-0.3609,+1.5190) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:589:3747754 | A std(90.05,+0.2089,-1.6038) out(75.40,+0.2082,-1.6114) | B std(90.05,+0.2089,-1.6038) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1326:8448697 | A std(152.00,-0.7064,+1.5740) out(11.90,-0.7108,+1.8579) | B std(152.00,-0.7064,+1.5740) out(0.00,+0.0000,+0.0000) | cosA=+0.97486 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5882:37483783 | A std(81.25,-0.3952,-1.2870) out(85.66,-0.4123,-1.2834) | B std(81.25,-0.3952,-1.2870) out(0.00,+0.0000,+0.0000) | cosA=+0.99987 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5832:37161961 | A std(193.54,+1.0229,-1.8860) out(66.29,+1.0227,-1.8630) | B std(193.54,+1.0229,-1.8860) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5917:37702999 | A std(103.33,-0.3270,-1.4104) out(115.73,-0.3234,-1.4063) | B std(103.33,-0.3270,-1.4104) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5693:36280222 | A std(100.66,-0.4059,+1.3403) out(373.13,-0.4081,+1.3657) | B std(100.66,-0.4059,+1.3403) out(0.00,+0.0000,+0.0000) | cosA=+0.99972 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:669:4258704 | A std(34.06,+1.0051,-1.6305) out(25.07,+1.0020,-1.5968) | B std(34.06,+1.0051,-1.6305) out(0.00,+0.0000,+0.0000) | cosA=+0.99976 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1380:8792846 | A std(152.32,+0.3247,-1.3959) out(137.48,+0.3200,-1.3980) | B std(152.32,+0.3247,-1.3959) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6051:38557209 | A std(43.49,+0.7190,-2.8380) out(33.88,+0.7131,-2.8109) | B std(43.49,+0.7190,-2.8380) out(0.00,+0.0000,+0.0000) | cosA=+0.99976 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6058:38601977 | A std(87.80,+0.9095,-1.3175) out(45.68,+0.9162,-1.3501) | B std(87.80,+0.9095,-1.3175) out(0.00,+0.0000,+0.0000) | cosA=+0.99974 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1435:9141673 | A std(60.87,-0.7477,-1.4607) out(186.70,-0.7394,-1.4940) | B std(60.87,-0.7477,-1.4607) out(0.00,+0.0000,+0.0000) | cosA=+0.99965 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6413:40869295 | A std(117.09,+0.3296,-2.0841) out(85.73,+0.3306,-2.0673) | B std(117.09,+0.3296,-2.0841) out(0.00,+0.0000,+0.0000) | cosA=+0.99987 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6140:39129743 | A std(83.43,-0.9255,-2.8995) out(81.80,-0.9262,-2.9006) | B std(83.43,-0.9255,-2.8995) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:760:4843366 | A std(49.65,+0.3758,-1.4939) out(38.66,+0.3790,-1.5167) | B std(49.65,+0.3758,-1.4939) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6323:40290313 | A std(48.52,+0.3454,-1.4247) out(47.21,+0.3478,-1.4239) | B std(48.52,+0.3454,-1.4247) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6428:40962077 | A std(154.93,-0.8031,-2.4568) out(894.63,-0.8003,-2.4862) | B std(154.93,-0.8031,-2.4568) out(0.00,+0.0000,+0.0000) | cosA=+0.99976 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6428:40963346 | A std(127.30,+0.8394,-1.9112) out(31.20,+0.8468,-1.8317) | B std(127.30,+0.8394,-1.9112) out(0.00,+0.0000,+0.0000) | cosA=+0.99832 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6092:38820180 | A std(47.02,+0.8912,-1.6034) out(42.42,+0.8794,-1.6183) | B std(47.02,+0.8912,-1.6034) out(0.00,+0.0000,+0.0000) | cosA=+0.99991 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:416:2651137 | A std(65.05,+0.0873,+1.6092) out(60.86,+0.0987,+1.6176) | B std(65.05,+0.0873,+1.6092) out(0.00,+0.0000,+0.0000) | cosA=+0.99990 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6312:40220010 | A std(83.69,-1.0491,-1.6996) out(91.81,-1.0554,-1.6970) | B std(83.69,-1.0491,-1.6996) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6328:40323576 | A std(79.31,-0.4009,-2.3027) out(52.71,-0.3993,-2.3230) | B std(79.31,-0.4009,-2.3027) out(0.00,+0.0000,+0.0000) | cosA=+0.99982 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6212:39587814 | A std(148.12,-0.4183,-1.5299) out(134.43,-0.4173,-1.5262) | B std(148.12,-0.4183,-1.5299) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:480:3056948 | A std(31.35,-0.9546,-2.1345) out(43.94,-0.9555,-2.1012) | B std(31.35,-0.9546,-2.1345) out(0.00,+0.0000,+0.0000) | cosA=+0.99975 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1602:10209152 | A std(122.35,-0.3973,-2.3389) out(150.04,-0.3967,-2.3445) | B std(122.35,-0.3973,-2.3389) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6108:38920781 | A std(70.33,-0.4081,-2.1844) out(84.12,-0.4078,-2.1950) | B std(70.33,-0.4081,-2.1844) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6201:39513313 | A std(52.02,-0.7357,+1.5456) out(47.34,-0.7287,+1.5467) | B std(52.02,-0.7357,+1.5456) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6338:40387944 | A std(72.09,-1.0156,-1.1568) out(65.89,-1.0163,-1.1556) | B std(72.09,-1.0156,-1.1568) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:96:610961 | A std(59.35,+0.2924,-2.0910) out(116.19,+0.2954,-2.0592) | B std(59.35,+0.2924,-2.0910) out(0.00,+0.0000,+0.0000) | cosA=+0.99953 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6308:40195406 | A std(72.02,+0.7500,-1.5491) out(71.75,+0.7493,-1.5525) | B std(72.02,+0.7500,-1.5491) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6183:39400588 | A std(47.32,+0.7649,-2.2439) out(48.20,+0.7652,-2.2493) | B std(47.32,+0.7649,-2.2439) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6357:40511192 | A std(41.48,+0.3030,-1.7236) out(45.12,+0.2991,-1.7291) | B std(41.48,+0.3030,-1.7236) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6241:39772773 | A std(38.52,+0.7633,-1.5404) out(30.81,+0.7600,-1.5148) | B std(38.52,+0.7633,-1.5404) out(0.00,+0.0000,+0.0000) | cosA=+0.99981 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6445:41069090 | A std(51.21,+0.4465,-1.8655) out(463.84,+0.4557,-1.8087) | B std(51.21,+0.4465,-1.8655) out(0.00,+0.0000,+0.0000) | cosA=+0.99864 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6378:40643062 | A std(112.08,-0.3259,-1.3778) out(69.39,-0.3296,-1.3969) | B std(112.08,-0.3259,-1.3778) out(0.00,+0.0000,+0.0000) | cosA=+0.99983 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6727:42867897 | A std(195.23,+0.3118,-2.2327) out(193.25,+0.3101,-2.2350) | B std(195.23,+0.3118,-2.2327) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:333:2116059 | A std(30.02,-1.1953,-1.5302) out(20.54,-1.2058,-1.4868) | B std(30.02,-1.1953,-1.5302) out(0.00,+0.0000,+0.0000) | cosA=+0.99970 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6519:41542953 | A std(99.38,-0.3083,-1.4040) out(107.36,-0.3124,-1.4119) | B std(99.38,-0.3083,-1.4040) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6533:41634101 | A std(50.28,+0.7000,-1.9051) out(113.94,+0.7030,-1.9424) | B std(50.28,+0.7000,-1.9051) out(0.00,+0.0000,+0.0000) | cosA=+0.99956 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6559:41796601 | A std(261.20,+0.8176,-0.6987) out(2140.89,+0.8158,-0.6791) | B std(261.20,+0.8176,-0.6987) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6586:41971046 | A std(69.09,+0.8679,-1.6210) out(101.62,+0.8654,-1.6359) | B std(69.09,+0.8679,-1.6210) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6639:42308743 | A std(81.00,+0.1383,-1.5648) out(53.36,+0.1457,-1.5388) | B std(81.00,+0.1383,-1.5648) out(0.00,+0.0000,+0.0000) | cosA=+0.99964 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6693:42653867 | A std(122.11,+0.7010,-0.5517) out(210.45,+0.7105,-0.5678) | B std(122.11,+0.7010,-0.5517) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:6558:41788309 | A std(67.74,-0.3926,-1.4226) out(57.77,-0.3928,-1.4131) | B std(67.74,-0.3926,-1.4226) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
