# run:lumi:event | A: std(pt,eta,phi) out(pt,eta,phi) | B: std(pt,eta,phi) out(pt,eta,phi) | cosA dt ndof_ok pair_cosmic cand_dup
1:47:298920 | A std(47.33,+0.7129,-2.0723) out(31.80,+0.7157,-2.1081) | B std(47.33,+0.7129,-2.0723) out(0.00,+0.0000,+0.0000) | cosA=+0.99960 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9700:61816444 | A std(60.46,+0.1890,-1.7495) out(102.56,+0.1984,-1.7754) | B std(60.46,+0.1890,-1.7495) out(0.00,+0.0000,+0.0000) | cosA=+0.99963 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9591:61118614 | A std(40.23,+0.5077,+2.1347) out(53.64,+0.5121,+2.1567) | B std(40.23,+0.5077,+2.1347) out(0.00,+0.0000,+0.0000) | cosA=+0.99980 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9604:61204751 | A std(42.17,+1.0278,+2.4233) out(53.20,+1.0302,+2.4291) | B std(42.17,+1.0278,+2.4233) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9520:60670698 | A std(50.80,+0.3206,-1.9330) out(40.83,+0.3173,-1.9238) | B std(50.80,+0.3206,-1.9330) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9569:60980758 | A std(76.94,-0.2424,-2.0577) out(75.76,-0.2425,-2.0579) | B std(76.94,-0.2424,-2.0577) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9480:60415074 | A std(36.72,-0.3849,-1.3721) out(24.80,-0.3860,-1.3190) | B std(36.72,-0.3849,-1.3721) out(0.00,+0.0000,+0.0000) | cosA=+0.99878 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9485:60445541 | A std(73.07,-0.2368,-1.6157) out(61.55,-0.2358,-1.6073) | B std(73.07,-0.2368,-1.6157) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9571:60991736 | A std(83.26,+0.4779,-1.3375) out(59.23,+0.4798,-1.3194) | B std(83.26,+0.4779,-1.3375) out(0.00,+0.0000,+0.0000) | cosA=+0.99987 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9724:61968248 | A std(118.30,-0.3393,-1.8712) out(121.60,-0.3395,-1.8720) | B std(118.30,-0.3393,-1.8712) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9523:60684033 | A std(55.44,-0.7037,-1.6963) out(124.92,-0.7068,-1.6556) | B std(55.44,-0.7037,-1.6963) out(0.00,+0.0000,+0.0000) | cosA=+0.99948 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9537:60775779 | A std(60.30,+0.8561,-2.6446) out(54.96,+0.8626,-2.6478) | B std(60.30,+0.8561,-2.6446) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9677:61670048 | A std(178.79,-0.2758,-1.6646) out(237.39,-0.2729,-1.6603) | B std(178.79,-0.2758,-1.6646) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9735:62037716 | A std(97.51,-0.3091,-1.1255) out(77.48,-0.3104,-1.0399) | B std(97.51,-0.3091,-1.1255) out(0.00,+0.0000,+0.0000) | cosA=+0.99667 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9895:63057232 | A std(37.51,+0.2469,-1.5437) out(37.49,+0.2456,-1.5477) | B std(37.51,+0.2469,-1.5437) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10123:64508425 | A std(142.98,-0.0683,+1.6882) out(170.24,-0.0698,+1.6920) | B std(142.98,-0.0683,+1.6882) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9797:62431353 | A std(95.96,+0.9191,-0.4357) out(48.74,+0.9340,-0.4681) | B std(95.96,+0.9191,-0.4357) out(0.00,+0.0000,+0.0000) | cosA=+0.99970 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9886:62997223 | A std(40.92,+0.2826,-1.9167) out(35.79,+0.2863,-1.9032) | B std(40.92,+0.2826,-1.9167) out(0.00,+0.0000,+0.0000) | cosA=+0.99991 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9932:63295959 | A std(85.22,-0.3759,-0.7647) out(64.83,-0.4126,-0.7810) | B std(85.22,-0.3759,-0.7647) out(0.00,+0.0000,+0.0000) | cosA=+0.99931 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9919:63212904 | A std(181.01,+0.2185,-2.2032) out(179.14,+0.2174,-2.2005) | B std(181.01,+0.2185,-2.2032) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9930:63281276 | A std(55.39,+0.2781,-1.4520) out(43.72,+0.2786,-1.4334) | B std(55.39,+0.2781,-1.4520) out(0.00,+0.0000,+0.0000) | cosA=+0.99984 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9791:62397806 | A std(56.04,-0.1759,+1.5334) out(59.27,-0.1759,+1.5325) | B std(56.04,-0.1759,+1.5334) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10140:64621401 | A std(36.00,-0.7424,-1.5596) out(31.45,-0.7427,-1.5427) | B std(36.00,-0.7424,-1.5596) out(0.00,+0.0000,+0.0000) | cosA=+0.99991 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1596:10169603 | A std(47.51,+0.7300,+1.5474) out(70.73,+0.7390,+1.5263) | B std(47.51,+0.7300,+1.5474) out(0.00,+0.0000,+0.0000) | cosA=+0.99984 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9884:62985982 | A std(60.88,+0.0983,-0.5926) out(23.73,+0.0931,-0.6929) | B std(60.88,+0.0983,-0.5926) out(0.00,+0.0000,+0.0000) | cosA=+0.99501 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9861:62838973 | A std(44.34,+0.0744,-1.9309) out(38.97,+0.0761,-1.9094) | B std(44.34,+0.0744,-1.9309) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9861:62842015 | A std(245.90,-1.1855,+0.3616) out(454.68,-1.1866,+0.3667) | B std(207.63,-1.1855,+0.3644) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:9900:63089996 | A std(57.97,-0.5446,+0.3477) out(69.59,-0.5489,+0.3536) | B std(57.97,-0.5446,+0.3477) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9937:63327211 | A std(167.61,-0.3978,-1.3113) out(102.02,-0.3984,-1.3248) | B std(167.61,-0.3978,-1.3113) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1662:10588667 | A std(136.42,-0.8405,-2.0508) out(112.37,-0.8490,-2.0557) | B std(136.42,-0.8405,-2.0508) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9805:62484138 | A std(136.93,+0.4763,-1.2514) out(385.65,+0.4911,-1.2680) | B std(136.93,+0.4763,-1.2514) out(0.00,+0.0000,+0.0000) | cosA=+0.99980 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9820:62576521 | A std(82.47,+0.3807,-1.7599) out(99.00,+0.3820,-1.7692) | B std(82.47,+0.3807,-1.7599) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9881:62969734 | A std(65.48,-1.1233,-2.3076) out(74.57,-1.1241,-2.3136) | B std(65.48,-1.1233,-2.3076) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9943:63360600 | A std(48.00,-0.8301,-1.5733) out(62.13,-0.8192,-1.5524) | B std(48.00,-0.8301,-1.5733) out(0.00,+0.0000,+0.0000) | cosA=+0.99985 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10226:65167449 | A std(161.74,-0.7058,-1.1874) out(87.59,-0.7117,-1.1689) | B std(161.74,-0.7058,-1.1874) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10467:66701043 | A std(77.92,+0.8260,-2.7843) out(75.00,+0.8265,-2.7864) | B std(77.92,+0.8260,-2.7843) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10191:64941087 | A std(83.49,-0.6672,+1.9001) out(88.40,-0.6641,+1.9008) | B std(83.49,-0.6672,+1.9001) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
