# run:lumi:event  inner_cosA  outer_cosA  zero  dt(outer up-lo)  ndof_ok  lead_out(pt,eta,phi)  sub_out(pt,eta,phi)
1:3245:20679687  inner=+1.00000  outer=-0.99997  zero=0  dt=-52.999  ndof_ok=1  lead(671.23,-0.7320,+0.4259)  sub(178.64,+0.7229,-2.7109)
1:3142:20020210  inner=+1.00000  outer=-0.99995  zero=0  dt=-40.781  ndof_ok=1  lead(164.88,-0.4600,-2.1013)  sub(457.85,+0.4490,+1.0396)
1:3142:20022439  inner=+0.99999  outer=-0.99994  zero=0  dt=-65.432  ndof_ok=1  lead(183.35,+1.1251,+0.7104)  sub(112.39,-1.1281,-2.4129)
1:3189:20319515  inner=+1.00000  outer=-1.00000  zero=0  dt=-52.010  ndof_ok=1  lead(196.16,+0.8369,+2.7803)  sub(223.93,-0.8367,-0.3590)
1:3240:20645083  inner=+0.99999  outer=-0.99988  zero=0  dt=-40.504  ndof_ok=1  lead(534.65,+0.0788,-0.4761)  sub(132.07,-0.0807,+2.6810)
1:3464:22074811  inner=+1.00000  outer=-0.99999  zero=0  dt=-38.556  ndof_ok=1  lead(192.72,+0.7129,-0.6834)  sub(248.33,-0.7145,+2.4643)
1:3302:21038330  inner=+0.99999  outer=-0.91787  zero=0  dt=-49.457  ndof_ok=0  lead(194.68,-0.9020,-0.9293)  sub(10.25,+0.4912,+2.5196)
1:3399:21659865  inner=+1.00000  outer=-0.99996  zero=0  dt=-33.307  ndof_ok=1  lead(175.86,+0.7601,-1.3082)  sub(230.62,-0.7515,+1.8417)
1:3497:22285211  inner=+1.00000  outer=-0.99984  zero=0  dt=-61.377  ndof_ok=1  lead(284.36,-0.9035,+2.0727)  sub(269.62,+0.9292,-1.0711)
1:3511:22369549  inner=+1.00000  outer=-1000.00000  zero=1  dt=-50.455  ndof_ok=0  lead(96.76,+0.7536,-1.6903)  sub(0.00,+0.0000,+0.0000)
1:3453:21999893  inner=+1.00000  outer=-0.99888  zero=0  dt=-42.565  ndof_ok=0  lead(211.69,+0.7689,-1.6483)  sub(65.44,-0.7809,+1.5544)
1:3631:23138209  inner=+1.00000  outer=-1.00000  zero=0  dt=-49.232  ndof_ok=1  lead(217.75,+0.6265,-1.1753)  sub(5684.14,-0.6266,+1.9631)
1:931:5927638  inner=+1.00000  outer=-0.99910  zero=0  dt=-41.171  ndof_ok=1  lead(293.91,-0.1879,+1.4058)  sub(195.06,+0.1449,-1.7358)
1:264:1681007  inner=+1.00000  outer=-0.99997  zero=0  dt=-55.812  ndof_ok=1  lead(111.65,-0.8721,+1.1106)  sub(520.74,+0.8744,-2.0210)
